City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
104,Araouane,18.9048,-3.5265,311.72,24,2,2.02,ML,2022-08-11 19:36:13,clear sky
105,Provideniya,64.3833,-173.3,283.42,91,100,2.71,RU,2022-08-11 19:42:30,overcast clouds
106,Vestmannaeyjar,63.4427,-20.2734,283.7,87,75,4.63,IS,2022-08-11 19:33:08,light rain
107,Busselton,-33.65,115.3333,282.73,87,3,4.45,AU,2022-08-11 19:31:07,clear sky
108,Klyuchi,52.2667,79.1667,289.35,90,88,2.69,RU,2022-08-11 19:42:31,overcast clouds
109,Tecoanapa,16.5167,-98.75,302.68,61,100,4.18,MX,2022-08-11 19:42:31,overcast clouds
110,Lebu,-37.6167,-73.65,284.54,80,100,1.77,CL,2022-08-11 19:42:32,overcast clouds
111,Lagoa,39.05,-27.9833,296.4,81,100,6.11,PT,2022-08-11 19:42:32,overcast clouds
112,Inta,66.0317,60.1659,283.33,90,42,3.69,RU,2022-08-11 19:42:33,scattered clouds
113,Ust-Shonosha,61.1531,41.343,289.65,65,100,4.56,RU,2022-08-11 19:42:33,overcast clouds
114,Blajeni,46.2333,22.9,288.41,70,32,2.7,RO,2022-08-11 19:42:33,scattered clouds
115,Urucara,-2.5364,-57.76,309.34,26,71,1.9,BR,2022-08-11 19:42:34,broken clouds
116,Goderich,43.7501,-81.7165,292.54,57,0,9.29,CA,2022-08-11 19:33:06,clear sky
117,Ngunguru,-35.6167,174.5,280.6,79,7,4.36,NZ,2022-08-11 19:42:35,clear sky
118,Port Macquarie,-31.4333,152.9167,284.2,79,100,2.78,AU,2022-08-11 19:42:35,light rain
119,Port Hedland,-20.3167,118.5667,292.18,34,75,5.66,AU,2022-08-11 19:42:35,broken clouds
120,Dingle,10.9995,122.6711,297.45,89,75,0.58,PH,2022-08-11 19:34:17,broken clouds
121,Hermanus,-34.4187,19.2345,285.82,77,100,5.86,ZA,2022-08-11 19:35:24,overcast clouds
122,Anadyr,64.75,177.4833,286.43,93,40,2.0,RU,2022-08-11 19:42:36,light intensity shower rain
123,Presidente Medici,-11.1753,-61.9014,306.07,26,0,1.05,BR,2022-08-11 19:42:37,clear sky
124,Butaritari,3.0707,172.7902,300.85,74,99,5.45,KI,2022-08-11 19:31:12,overcast clouds
125,New Norfolk,-42.7826,147.0587,279.66,81,96,0.4,AU,2022-08-11 19:33:48,overcast clouds
126,Cockburn Town,21.4612,-71.1419,300.87,75,11,7.28,TC,2022-08-11 19:41:09,few clouds
127,Tiksi,71.6872,128.8694,277.75,97,100,5.54,RU,2022-08-11 19:34:13,overcast clouds
128,Marzuq,14.4,46.4667,298.92,71,100,2.07,YE,2022-08-11 19:42:38,overcast clouds
129,Peniche,39.3558,-9.3811,295.07,90,0,2.37,PT,2022-08-11 19:42:38,clear sky
130,Vostok,46.4856,135.8833,285.48,98,92,1.85,RU,2022-08-11 19:38:33,overcast clouds
131,Cabedelo,-6.9811,-34.8339,300.52,76,39,3.7,BR,2022-08-11 19:39:58,scattered clouds
132,Kalundborg,55.6795,11.0886,292.78,68,5,3.15,DK,2022-08-11 19:42:39,clear sky
133,Carnarvon,-24.8667,113.6333,288.54,34,0,7.15,AU,2022-08-11 19:33:47,clear sky
134,Kintampo,8.0563,-1.7306,298.19,70,100,2.12,GH,2022-08-11 19:42:40,overcast clouds
135,Zyryanka,65.75,150.85,290.69,63,98,3.55,RU,2022-08-11 19:42:40,overcast clouds
136,Margate,51.3813,1.3862,297.54,81,0,1.79,GB,2022-08-11 19:33:39,clear sky
137,Mandan,46.8267,-100.8896,302.8,76,0,6.69,US,2022-08-11 19:42:41,clear sky
138,Reshetylivka,49.565,34.0782,296.32,53,100,2.95,UA,2022-08-11 19:42:41,overcast clouds
139,Kormilovka,55.0026,74.1028,290.8,84,62,1.72,RU,2022-08-11 19:43:41,broken clouds
140,Belaya Gora,68.5333,146.4167,286.63,72,71,6.54,RU,2022-08-11 19:43:42,broken clouds
141,Laguna,38.421,-121.4238,305.98,43,0,4.12,US,2022-08-11 19:43:42,clear sky
142,Maceio,-9.6658,-35.7353,300.84,69,40,4.63,BR,2022-08-11 19:43:43,scattered clouds
143,Qaanaaq,77.484,-69.3632,277.08,71,97,3.16,GL,2022-08-11 19:34:12,overcast clouds
144,Tornio,65.8481,24.1466,289.16,61,100,7.08,FI,2022-08-11 19:43:43,overcast clouds
145,Beloha,-25.1667,45.05,292.23,56,0,4.45,MG,2022-08-11 19:43:44,clear sky
146,Takoradi,4.8845,-1.7554,296.96,84,100,4.34,GH,2022-08-11 19:43:44,overcast clouds
147,Berlevag,70.8578,29.0864,286.04,87,100,8.23,NO,2022-08-11 19:43:44,light rain
148,Lompoc,34.6391,-120.4579,299.23,74,40,6.17,US,2022-08-11 19:36:19,mist
149,Koslan,63.4564,48.8989,289.79,65,100,4.45,RU,2022-08-11 19:43:45,overcast clouds
150,Alvaraes,-3.2208,-64.8042,304.08,33,16,0.9,BR,2022-08-11 19:43:45,few clouds
151,Agua Buena,7.8167,-80.4,298.02,99,100,1.31,PA,2022-08-11 19:43:46,overcast clouds
152,Upernavik,72.7868,-56.1549,278.68,79,100,4.06,GL,2022-08-11 19:43:46,overcast clouds
153,Montmagny,48.9734,2.3469,302.03,30,0,3.09,FR,2022-08-11 19:43:46,clear sky
154,Korla,41.7597,86.1469,302.91,28,24,7.56,CN,2022-08-11 19:42:39,few clouds
155,Anuradhapura,8.3565,80.4173,298.78,84,100,5.42,LK,2022-08-11 19:43:47,overcast clouds
156,Kodiak,57.79,-152.4072,286.88,88,100,3.09,US,2022-08-11 19:33:19,mist
157,Richards Bay,-28.783,32.0377,294.57,72,4,5.95,ZA,2022-08-11 19:43:48,clear sky
158,Ambilobe,-13.2,49.05,291.39,74,1,2.44,MG,2022-08-11 19:43:48,clear sky
159,Hirna,9.2167,41.1,289.36,91,94,3.53,ET,2022-08-11 19:43:49,overcast clouds
160,Kavaratti,10.5669,72.642,300.52,84,19,9.35,IN,2022-08-11 19:43:49,few clouds
161,Constitucion,-35.3333,-72.4167,285.87,66,0,3.77,CL,2022-08-11 19:43:50,clear sky
162,Grindavik,63.8424,-22.4338,284.12,81,75,5.66,IS,2022-08-11 19:34:16,broken clouds
163,Longyearbyen,78.2186,15.6401,281.06,76,75,3.09,SJ,2022-08-11 19:35:25,broken clouds
164,Mahoba,25.2833,79.8667,299.81,84,82,3.2,IN,2022-08-11 19:43:50,broken clouds
165,Bethel,41.3712,-73.414,305.22,45,0,1.54,US,2022-08-11 19:36:00,clear sky
166,Cururupu,-1.8283,-44.8683,300.95,69,62,2.88,BR,2022-08-11 19:43:51,broken clouds
167,Avarua,-21.2078,-159.775,297.18,78,49,6.17,CK,2022-08-11 19:33:44,scattered clouds
168,Malakal,9.5334,31.6605,294.3,98,100,2.02,SS,2022-08-11 19:43:51,overcast clouds
169,Glace Bay,46.1969,-59.957,294.14,84,75,4.63,CA,2022-08-11 19:43:52,broken clouds
170,Sangueya,10.7,-14.3667,297.51,94,100,3.04,GN,2022-08-11 19:43:52,moderate rain
171,Thompson,55.7435,-97.8558,298.24,47,20,4.12,CA,2022-08-11 19:43:53,few clouds
172,Kutum,14.2,24.6667,297.0,62,81,1.73,SD,2022-08-11 19:43:53,broken clouds
173,Quelimane,-17.8786,36.8883,293.24,84,0,2.1,MZ,2022-08-11 19:40:08,clear sky
174,East London,-33.0153,27.9116,291.62,81,100,2.61,ZA,2022-08-11 19:41:57,overcast clouds
175,Talnakh,69.4865,88.3972,282.69,68,90,1.81,RU,2022-08-11 19:43:54,overcast clouds
176,Nouadhibou,20.931,-17.0347,297.14,73,1,10.29,MR,2022-08-11 19:43:54,sand
177,Nishihara,26.1842,127.7558,300.75,90,40,3.09,JP,2022-08-11 19:43:55,scattered clouds
178,Along,28.1667,94.7667,297.33,98,75,0.28,IN,2022-08-11 19:43:55,broken clouds
179,Berdigestyakh,62.0989,126.6992,286.13,95,35,1.39,RU,2022-08-11 19:43:56,scattered clouds
180,Miraflores,19.2167,-98.8083,296.5,61,96,0.52,MX,2022-08-11 19:43:56,overcast clouds
181,Itarema,-2.9248,-39.9167,299.98,75,88,7.4,BR,2022-08-11 19:43:56,overcast clouds
182,Coahuayana,18.7333,-103.6833,305.22,61,100,3.36,MX,2022-08-11 19:43:57,overcast clouds
183,Kholmogory,64.2229,41.656,289.48,96,100,4.16,RU,2022-08-11 19:43:57,overcast clouds
184,Tabou,4.423,-7.3528,297.88,78,99,4.35,CI,2022-08-11 19:43:58,overcast clouds
185,Gornyak,50.9942,81.4661,287.83,89,30,0.66,RU,2022-08-11 19:44:58,scattered clouds
186,Chardara,41.2547,67.9692,295.78,40,0,4.28,KZ,2022-08-11 19:44:58,clear sky
187,Escanaba,45.7453,-87.0646,296.77,45,20,3.6,US,2022-08-11 19:40:34,few clouds
188,Saskylakh,71.9167,114.0833,279.19,71,100,3.04,RU,2022-08-11 19:37:59,overcast clouds
189,Phalaborwa,-23.943,31.1411,295.75,41,0,1.96,ZA,2022-08-11 19:44:59,clear sky
190,Torbay,47.6666,-52.7314,289.97,87,100,3.6,CA,2022-08-11 19:44:59,light intensity drizzle
191,Sesheke,-17.4759,24.2968,292.21,23,4,2.4,ZM,2022-08-11 19:45:00,clear sky
192,Namatanai,-3.6667,152.4333,299.16,83,100,3.58,PG,2022-08-11 19:45:00,overcast clouds
193,Hobyo,5.3505,48.5268,297.85,80,63,11.59,SO,2022-08-11 19:45:01,broken clouds
194,Tynda,55.1667,124.7167,284.82,95,100,1.47,RU,2022-08-11 19:45:01,overcast clouds
195,Touros,-5.1989,-35.4608,298.93,78,23,5.47,BR,2022-08-11 19:45:02,few clouds
196,Esperance,-33.8667,121.9,284.63,72,91,4.04,AU,2022-08-11 19:36:11,overcast clouds
197,Sharjah,25.3573,55.4033,310.14,52,0,1.54,AE,2022-08-11 19:43:05,clear sky
198,Fomboni,-12.28,43.7425,297.12,70,2,2.61,KM,2022-08-11 19:45:02,clear sky
199,Hofn,64.2539,-15.2082,284.14,83,63,6.94,IS,2022-08-11 19:45:03,broken clouds
200,Tuatapere,-46.1333,167.6833,273.78,86,3,2.38,NZ,2022-08-11 19:45:04,clear sky
201,Loei,17.4167,101.5,291.5,99,100,1.11,TH,2022-08-11 19:45:04,light rain
202,Sarankhola,22.3082,89.7897,298.13,96,73,1.08,BD,2022-08-11 19:45:05,broken clouds
203,Abu Dhabi,24.4667,54.3667,308.16,79,99,2.06,AE,2022-08-11 19:41:39,overcast clouds
204,Virginia Beach,36.8529,-75.978,304.27,71,75,3.6,US,2022-08-11 19:43:57,thunderstorm
205,Elizabethton,36.3487,-82.2107,301.02,73,75,3.09,US,2022-08-11 19:44:20,broken clouds
206,Northview,43.0456,-85.6006,300.3,47,40,5.14,US,2022-08-11 19:45:07,scattered clouds
207,Mar Del Plata,-38.0023,-57.5575,289.16,65,0,8.23,AR,2022-08-11 19:43:27,clear sky
208,Bandarbeyla,9.4942,50.8122,297.81,80,100,12.84,SO,2022-08-11 19:45:07,overcast clouds
209,Madison Heights,42.4859,-83.1052,300.16,51,40,4.12,US,2022-08-11 19:45:08,scattered clouds
210,Bayanday,53.0661,105.5139,282.53,95,2,1.28,RU,2022-08-11 19:45:08,clear sky
211,Beringovskiy,63.05,179.3167,284.64,84,100,7.22,RU,2022-08-11 19:45:09,overcast clouds
212,Nemuro,43.3236,145.575,291.72,100,100,5.44,JP,2022-08-11 19:45:09,moderate rain
213,Hithadhoo,-0.6,73.0833,300.73,75,3,3.35,MV,2022-08-11 19:45:10,clear sky
214,Ancud,-41.8697,-73.8203,282.31,91,100,8.83,CL,2022-08-11 19:45:10,moderate rain
215,Klaksvik,62.2266,-6.589,284.66,81,100,5.15,FO,2022-08-11 19:45:11,overcast clouds
216,Turukhansk,65.8167,87.9833,279.66,86,5,2.86,RU,2022-08-11 19:45:11,clear sky
217,Necochea,-38.5473,-58.7368,288.11,57,0,6.73,AR,2022-08-11 19:45:12,clear sky
218,Sao Miguel Do Araguaia,-13.275,-50.1628,305.48,19,89,2.97,BR,2022-08-11 19:45:12,overcast clouds
219,Norman Wells,65.282,-126.8329,290.17,45,75,2.06,CA,2022-08-11 19:45:12,broken clouds
220,Beatrice,40.2681,-96.747,305.2,37,0,2.57,US,2022-08-11 19:45:13,clear sky
221,Aniva,46.7144,142.5294,292.21,94,100,2.52,RU,2022-08-11 19:45:13,overcast clouds
222,High Prairie,55.4334,-116.4858,297.48,42,37,5.23,CA,2022-08-11 19:45:14,scattered clouds
223,Aljezur,37.3191,-8.8033,291.78,88,0,3.57,PT,2022-08-11 19:45:14,clear sky
224,Seydi,39.4816,62.9137,298.99,26,0,5.63,TM,2022-08-11 19:45:15,clear sky
225,Wad Madani,14.4012,33.5199,299.14,74,23,5.71,SD,2022-08-11 19:41:51,few clouds
226,Shu,43.5983,73.7614,293.87,51,3,0.82,KZ,2022-08-11 19:45:15,clear sky
227,Champerico,14.3,-91.9167,307.45,63,18,2.43,GT,2022-08-11 19:46:16,few clouds
228,La Sarre,48.8002,-79.1996,293.19,43,15,5.94,CA,2022-08-11 19:46:16,few clouds
229,Panzhihua,26.5851,101.7128,295.05,89,62,0.45,CN,2022-08-11 19:46:17,broken clouds
230,Narsaq,60.9167,-46.05,288.27,76,12,2.13,GL,2022-08-11 19:35:02,few clouds
231,Martapura,-3.4167,114.85,298.2,88,75,1.03,ID,2022-08-11 19:46:17,broken clouds
232,Phan Thiet,10.9333,108.1,297.01,89,60,2.65,VN,2022-08-11 19:46:18,broken clouds
233,Padang,-0.9492,100.3543,299.22,88,85,0.89,ID,2022-08-11 19:46:18,overcast clouds
234,Dandeli,15.2667,74.6167,295.4,93,86,4.86,IN,2022-08-11 19:46:18,overcast clouds
235,Palana,59.1167,159.9667,284.83,93,100,2.66,RU,2022-08-11 19:46:19,overcast clouds
236,Livingstonia,-10.606,34.1063,289.23,59,0,2.22,MW,2022-08-11 19:46:19,clear sky
237,Codrington,-38.2667,141.9667,281.05,83,100,3.41,AU,2022-08-11 19:38:38,overcast clouds
238,Ilulissat,69.2167,-51.1,279.16,87,75,1.54,GL,2022-08-11 19:37:12,broken clouds
239,Haines Junction,60.7522,-137.5108,285.54,84,100,1.09,CA,2022-08-11 19:46:20,overcast clouds
240,Comodoro Rivadavia,-45.8667,-67.5,289.07,36,40,7.2,AR,2022-08-11 19:45:34,scattered clouds
241,Aykhal,66.0,111.5,280.65,96,100,7.95,RU,2022-08-11 19:46:21,light rain
242,Astana,51.1801,71.446,290.12,88,0,2.0,KZ,2022-08-11 19:46:21,clear sky
243,Inuvik,68.3499,-133.7218,289.57,55,20,3.6,CA,2022-08-11 19:46:22,few clouds
244,Te Anau,-45.4167,167.7167,271.46,92,28,0.5,NZ,2022-08-11 19:38:31,scattered clouds
245,Luderitz,-26.6481,15.1594,286.88,85,58,4.02,NA,2022-08-11 19:41:27,broken clouds
246,Kwekwe,-18.9281,29.8149,288.65,37,0,2.72,ZW,2022-08-11 19:46:22,clear sky
247,High Level,58.5169,-117.136,288.21,67,75,4.63,CA,2022-08-11 19:45:51,broken clouds
248,Dutse,11.7594,9.3392,296.79,77,98,2.42,NG,2022-08-11 19:46:23,overcast clouds
249,Helena,46.5927,-112.0361,306.07,40,0,2.68,US,2022-08-11 19:43:53,clear sky
250,Baghdad,33.3406,44.4009,308.1,26,0,5.66,IQ,2022-08-11 19:46:24,clear sky
251,Puqi,29.7167,113.8833,301.5,63,98,2.14,CN,2022-08-11 19:46:24,overcast clouds
252,Nsoko,-27.0333,31.95,295.74,82,0,1.55,SZ,2022-08-11 19:46:24,clear sky
253,Yokadouma,3.5167,15.05,293.79,96,100,0.99,CM,2022-08-11 19:46:25,overcast clouds
254,Whangamata,-37.2,175.8667,278.16,79,5,3.1,NZ,2022-08-11 19:46:25,clear sky
255,Jieshou,33.2634,115.3611,300.22,74,100,3.05,CN,2022-08-11 19:46:26,overcast clouds
256,Onda,39.9667,-0.25,301.01,68,0,0.67,ES,2022-08-11 19:46:26,clear sky
257,Wyndham,37.6985,-77.6125,303.01,72,40,2.68,US,2022-08-11 19:46:26,scattered clouds
258,Douglas,41.3,-96.167,308.49,39,40,3.6,US,2022-08-11 19:46:27,scattered clouds
259,May Pen,17.9645,-77.2451,303.71,47,3,5.76,JM,2022-08-11 19:46:27,clear sky
260,Orlik,52.5178,99.825,281.31,90,11,0.31,RU,2022-08-11 19:46:28,few clouds
261,Jalu,29.0331,21.5482,302.5,39,0,6.5,LY,2022-08-11 19:46:28,clear sky
