City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
135,Labuhan,-6.8844,112.2051,298.43,87,100,2.96,ID,2022-08-11 19:21:31
136,Bourg-En-Bresse,46.1667,5.1667,304.05,41,0,2.17,FR,2022-08-11 19:21:32
137,Ilulissat,69.2167,-51.1,279.16,87,75,1.54,GL,2022-08-11 19:19:26
138,Lavrentiya,65.5833,-171.0,279.24,90,68,2.2,RU,2022-08-11 19:18:07
139,Hermanus,-34.4187,19.2345,285.26,78,100,6.06,ZA,2022-08-11 19:22:33
140,Xuddur,4.1213,43.8894,297.97,53,100,8.73,SO,2022-08-11 19:22:34
141,Itoman,26.1247,127.6694,301.16,89,100,3.09,JP,2022-08-11 19:22:34
142,Saldanha,-33.0117,17.9442,286.78,87,100,3.95,ZA,2022-08-11 19:18:18
143,Valparaiso,-33.0393,-71.6273,284.53,97,100,5.14,CL,2022-08-11 19:19:27
144,Cidreira,-30.1811,-50.2056,290.09,70,0,3.02,BR,2022-08-11 19:22:35
145,Ucluelet,48.9329,-125.5528,291.53,84,0,0.45,CA,2022-08-11 19:22:36
146,Chumikan,54.7183,135.315,285.2,98,100,0.87,RU,2022-08-11 19:22:36
147,Petropavlovsk-Kamchatskiy,53.0452,158.6483,283.48,100,100,2.0,RU,2022-08-11 19:22:37
148,Qaanaaq,77.484,-69.3632,277.04,72,98,3.37,GL,2022-08-11 19:18:49
149,Clyde River,70.4692,-68.5914,280.32,70,100,3.32,CA,2022-08-11 19:13:46
150,Kodiak,57.79,-152.4072,286.88,88,100,3.09,US,2022-08-11 19:22:37
151,Pevek,69.7008,170.3133,275.8,92,90,2.64,RU,2022-08-11 19:17:58
152,Tautira,-17.7333,-149.15,298.53,76,10,6.3,PF,2022-08-11 19:20:59
153,Talcahuano,-36.7167,-73.1167,284.97,71,20,4.12,CL,2022-08-11 19:22:38
154,Togitsu,32.8333,129.85,302.03,83,100,2.6,JP,2022-08-11 19:22:39
155,Chiang Klang,19.2938,100.8617,296.58,100,100,1.14,TH,2022-08-11 19:22:39
156,Cabo San Lucas,22.8909,-109.9124,308.49,59,20,4.63,MX,2022-08-11 19:15:30
157,Krasnoselkup,65.7,82.4667,282.97,68,100,3.14,RU,2022-08-11 19:22:40
158,Christchurch,-43.5333,172.6333,270.64,100,6,0.0,NZ,2022-08-11 19:17:51
159,Ofunato,39.0717,141.7167,296.82,97,100,2.63,JP,2022-08-11 19:22:40
160,Sarahan,31.5167,77.8,290.41,74,100,1.66,IN,2022-08-11 19:22:41
161,Sao Filipe,14.8961,-24.4956,299.58,72,5,5.16,CV,2022-08-11 19:13:40
162,Oktyabrskiy,54.4815,53.471,288.23,75,98,2.03,RU,2022-08-11 19:22:41
163,Laguna,38.421,-121.4238,305.55,46,0,3.09,US,2022-08-11 19:18:06
164,Iquitos,-3.7481,-73.2472,299.17,69,75,1.54,PE,2022-08-11 19:22:04
165,Aguimes,27.9054,-15.4461,295.5,69,40,11.83,ES,2022-08-11 19:22:42
166,Tasiilaq,65.6145,-37.6368,277.24,81,29,1.27,GL,2022-08-11 19:22:43
167,Lukoyanov,55.0277,44.4786,288.86,68,0,2.45,RU,2022-08-11 19:22:43
168,Chifeng,42.2683,118.9636,293.16,70,100,0.14,CN,2022-08-11 19:22:43
169,Lumeje,-11.55,20.7833,293.22,19,7,2.05,AO,2022-08-11 19:22:44
170,Doha,25.2867,51.5333,308.14,79,0,2.06,QA,2022-08-11 19:17:45
171,Bichena,10.45,38.2,285.67,89,100,1.66,ET,2022-08-11 19:22:44
172,Akyab,20.15,92.9,299.3,89,98,0.96,MM,2022-08-11 19:22:45
173,Beloha,-25.1667,45.05,292.31,62,0,4.12,MG,2022-08-11 19:13:42
174,Port Antonio,18.18,-76.4612,304.1,63,0,5.38,JM,2022-08-11 19:22:45
175,Dunedin,-45.8742,170.5036,275.26,76,3,0.89,NZ,2022-08-11 19:10:34
176,Husavik,66.0449,-17.3389,285.05,67,100,2.61,IS,2022-08-11 19:17:44
177,Kaohsiung,22.6163,120.3133,299.84,85,75,2.06,TW,2022-08-11 19:22:46
178,Norman Wells,65.282,-126.8329,290.17,45,75,2.06,CA,2022-08-11 19:19:02
179,Ambulu,-8.345,113.6058,297.13,93,57,1.27,ID,2022-08-11 19:22:47
180,Baiyin,36.5583,104.2081,297.14,63,34,3.88,CN,2022-08-11 19:22:48
181,Atambua,-9.1061,124.8925,294.92,87,33,2.13,ID,2022-08-11 19:22:48
182,Paka,4.6374,103.4368,299.11,100,35,0.0,MY,2022-08-11 19:22:48
183,Caravelas,-17.7125,-39.2481,297.85,64,100,4.37,BR,2022-08-11 19:23:49
184,Biak,-0.9131,122.8766,297.65,86,96,0.41,ID,2022-08-11 19:19:04
185,Sivas,39.7916,37.0019,290.5,77,0,3.6,TR,2022-08-11 19:23:49
186,Iqaluit,63.7506,-68.5145,285.0,62,40,3.09,CA,2022-08-11 19:23:50
187,Nicolas Romero,19.6219,-99.3131,296.27,38,99,3.01,MX,2022-08-11 19:21:52
188,Leh,34.1667,77.5833,294.69,32,100,2.7,IN,2022-08-11 19:23:50
189,Hami,42.8,93.45,304.16,26,11,6.01,CN,2022-08-11 19:23:51
190,Kalabo,-14.97,22.6814,292.64,21,0,2.41,ZM,2022-08-11 19:23:51
191,Broken Hill,-31.95,141.4333,281.5,51,10,6.97,AU,2022-08-11 19:23:52
192,Llaillay,-32.85,-70.9667,294.95,51,90,3.05,CL,2022-08-11 19:23:52
193,Mahebourg,-20.4081,57.7,293.85,64,20,6.17,MU,2022-08-11 19:23:53
194,Port-Gentil,-0.7193,8.7815,296.13,88,20,3.09,GA,2022-08-11 19:23:53
195,Ruteng,-8.6136,120.4721,289.54,95,88,1.17,ID,2022-08-11 19:21:44
196,Batagay-Alyta,67.8006,130.4114,282.68,83,99,2.47,RU,2022-08-11 19:23:54
197,Nouadhibou,20.931,-17.0347,297.14,73,1,10.29,MR,2022-08-11 19:23:20
198,Tadepallegudem,16.8333,81.5,298.6,92,100,0.78,IN,2022-08-11 19:23:54
199,Wajir,1.7471,40.0573,299.39,47,81,9.27,KE,2022-08-11 19:23:55
200,Buraydah,26.326,43.975,311.4,16,23,6.24,SA,2022-08-11 19:23:55
201,Gambela,8.25,34.5833,294.81,95,100,1.22,ET,2022-08-11 19:23:55
202,Nicoya,10.1483,-85.452,302.14,73,99,0.31,CR,2022-08-11 19:22:00
203,Sitka,57.0531,-135.33,290.09,77,75,2.57,US,2022-08-11 19:23:56
204,Hvide Sande,56.0045,8.1294,292.64,73,2,4.44,DK,2022-08-11 19:22:18
205,Constitucion,-35.3333,-72.4167,286.3,65,0,3.89,CL,2022-08-11 19:20:57
206,Paracatu,-17.2222,-46.8747,299.42,20,100,1.44,BR,2022-08-11 19:23:57
207,Arraial Do Cabo,-22.9661,-42.0278,294.13,78,40,11.32,BR,2022-08-11 19:23:02
208,Plettenberg Bay,-34.0527,23.3716,287.25,85,100,0.45,ZA,2022-08-11 19:19:45
