City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
312,Mecca,SA,77.54,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
316,Boddam,GB,54.43,scattered clouds,57.4667,-1.7833,Palace Hotel
317,Port Blair,IN,78.84,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
319,Huarmey,PE,76.28,clear sky,-10.0681,-78.1522,Hotel Miramar
324,General Roca,AR,79.63,scattered clouds,-39.0333,-67.5833,Hotel El Recreo
326,Willowmore,ZA,74.14,clear sky,-33.2926,23.4895,Jumper's Place
327,Nampula,MZ,76.95,clear sky,-15.1165,39.2666,Ruby Backpackers
329,Tandil,AR,78.89,clear sky,-37.3217,-59.1332,Hostal de la Sierra Tandil
331,Port Macquarie,AU,59.9,broken clouds,-31.4333,152.9167,Rydges Port Macquarie
333,Ruiselede,BE,62.46,clear sky,51.0572,3.3788,Apollonia
334,Lipari,IT,54.21,clear sky,38.4674,14.954,Hotel Villa Diana Soc. Clelia Hunziker s.a.s.
335,Bagotville,AU,63.86,clear sky,-28.9833,153.4167,Broadwater Sunrise Caravan Park
338,Port Augusta,AU,64.15,few clouds,-32.5,137.7667,Majestic Oasis Apartments
340,Le Pradet,FR,54.37,clear sky,43.1066,6.0172,Hôtel Kyriad Toulon La Garde
343,Malanje,AO,65.91,moderate rain,-9.5402,16.341,Hotel Ginga
344,Marawi,PH,68.07,overcast clouds,7.9986,124.2928,Derogongan Residence
347,Northam,GB,54.66,scattered clouds,51.0333,-4.2167,Durrant House Hotel
351,Luganville,VU,78.06,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
353,Andros Town,BS,78.76,broken clouds,24.7,-77.7667,Hanks place
355,Paracuru,BR,79.11,scattered clouds,-3.41,-39.0306,Hotel Vento Brasil
359,Marshall,US,76.08,scattered clouds,34.3834,-86.3333,Riverview Campground
361,Vao,NC,75.87,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
363,Sambava,MG,78.33,broken clouds,-14.2667,50.1667,Melrose
365,Ojinaga,MX,58.57,overcast clouds,29.5667,-104.4167,Suites Las Palmas
367,Trancoso,MX,68.11,scattered clouds,22.7333,-102.3667,Ex Hacienda De Trancoso
371,Victoria,HK,74.97,moderate rain,22.2855,114.1577,Mini Hotel Central
372,Mareeba,AU,66.92,scattered clouds,-17,145.4333,Trinity Plains Tourist Park
374,Ewa Beach,US,74.7,few clouds,21.3156,-158.0072,Base Lodging
378,Rocha,UY,70.99,moderate rain,-34.4833,-54.3333,Hotel Arrarte
383,Goodyear,US,77.32,scattered clouds,33.4353,-112.3582,Best Western Phoenix Goodyear Inn
384,Chuy,UY,72.95,heavy intensity rain,-33.6971,-53.4616,Nuevo Hotel Plaza
386,Ballina,AU,64.02,clear sky,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
389,Jiwani,PK,75.72,clear sky,25.05,61.7417,Al Mumtaz Transport Jiwani
391,Omboue,GA,79.79,overcast clouds,-1.5746,9.2618,Hotel Olako
393,Sinnamary,GF,79.23,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
394,Naze,JP,59.92,overcast clouds,28.3667,129.4833,Shishime Hotel
396,Asosa,ET,76.87,broken clouds,10.0667,34.5333,Blendana Hotel Assosa
397,Gat,IL,54.28,few clouds,31.61,34.7642,OlusHome
398,Copiapo,CL,65.89,clear sky,-27.3667,-70.3333,Antay Casino Hotel
401,Greenwood,US,74.07,broken clouds,34.1668,-82.1165,Quality Inn Greenwood Hwy 25
402,Laviana,ES,61.74,broken clouds,43.2333,-5.5333,Hotel Restaurante La Pacha
404,Itoman,JP,66.22,overcast clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
407,Gien,FR,57.29,clear sky,47.6933,2.6309,Hôtel la Poularde
408,Srandakan,ID,77.27,overcast clouds,-7.9386,110.2506,Puri Brata
409,Pisco,PE,75.25,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
410,Central Point,US,58.5,scattered clouds,42.376,-122.9164,Courtyard by Marriott Medford Airport
411,Cascais,PT,57.02,mist,38.6979,-9.4215,Hotel Vila Galé Cascais
414,San Luis,AR,79.27,few clouds,-33.295,-66.3356,Huarpes Hotel
415,Hambantota,LK,79.39,broken clouds,6.1241,81.1185,Bungalow 63
416,Aviles,ES,65.17,scattered clouds,43.5547,-5.9248,"Palacio de Avilés, Affiliated by Meliá"
418,Ternate,ID,76.15,moderate rain,0.8,127.4,Sahid Bela Ternate Hotel
421,Hirara,JP,70.9,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
423,Fortuna,US,50.92,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
428,Lompoc,US,78.85,few clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
429,Sangmelima,CM,79.92,overcast clouds,2.9333,11.9833,gamestar hotel
430,Puerto Princesa,PH,79.05,scattered clouds,9.7392,118.7353,Deep Forest Garden Inn
432,Esna,EG,64.42,clear sky,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
434,Menongue,AO,65.59,broken clouds,-14.6585,17.691,Ritz Lauca
438,Nouadhibou,MR,69.78,sand,20.931,-17.0347,El Medina
441,Labuhan,ID,79.74,overcast clouds,-6.8844,112.2051,DoubleFAG
442,Torring,DK,50.11,few clouds,55.85,9.4833,Tørring Camping
443,Galesong,ID,75.22,overcast clouds,-5.3166,119.3661,Sapriadi Appy
448,Naron,ES,60.03,overcast clouds,43.5167,-8.1528,Marcial
449,Madang,PG,75.27,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
456,Charters Towers,AU,67.39,few clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
459,Sri Aman,MY,75.25,overcast clouds,1.2376,111.4621,Seri Simanggang Hotel
460,Komsomolskiy,UZ,50.72,mist,40.4272,71.7189,Ikathouse
467,Maldonado,UY,74.23,overcast clouds,-34.6667,-54.9167,La Cimarrona
469,Wanaka,NZ,53.11,few clouds,-44.7,169.15,Wanaka Homestead Lodge and Cottages
474,Bardiyah,LY,51.84,scattered clouds,31.7561,25.0865,بورتو بردية
480,Belmonte,BR,79.25,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
482,Morbach,DE,54.1,clear sky,49.8167,7.1167,Boardinghouse Morbach
490,Ermelo,ZA,57.04,overcast clouds,-26.5333,29.9833,Zemira Guesthouse
491,Sur,OM,78.51,clear sky,22.5667,59.5289,Sur Plaza Hotel
494,Necochea,AR,77.58,clear sky,-38.5473,-58.7368,dyd -mar Hotel
495,Daru,PG,77.79,overcast clouds,-9.0763,143.2092,Daru Lodge
496,Bugene,TZ,57.63,broken clouds,-1.5911,31.1403,Triple P Hotel
500,Mount Isa,AU,69.57,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
502,Marrakesh,MA,69.87,scattered clouds,31.6315,-8.0083,Les Jardins de La Koutoubia
503,Ahipara,NZ,63.63,few clouds,-35.1667,173.1667,Ahipara Holiday Park
507,Sao Joao Da Barra,BR,77.09,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
508,Sampit,ID,73.42,light rain,-2.5333,112.95,Aquarius Boutique Hotel Sampit
510,Palmer,US,52.07,few clouds,42.1584,-72.3287,Wedgewood Motel
511,Tarata,BO,78.22,scattered clouds,-17.6167,-66.0167,Hacienda castillo
514,Hualmay,PE,75.67,clear sky,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
515,Vangaindrano,MG,73.58,overcast clouds,-23.35,47.6,Hotel Fanilo
517,Dakar,SN,77.88,clear sky,14.6937,-17.4441,Novotel Dakar
519,Mehriz,IR,72.1,scattered clouds,31.5917,54.4318,Mehrgard dwelling/سرای مهرگرد
520,Makakilo City,US,73.29,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
524,Dillon,US,76.03,overcast clouds,34.4166,-79.3712,Dillon Express Inn
527,Howard Springs,AU,78.71,overcast clouds,-12.497,131.047,buffalo beach hostel
528,Teknaf,BD,76.03,overcast clouds,20.8624,92.3058,Forestry Guesthouse
530,Kenitra,MA,61.56,overcast clouds,34.261,-6.5802,Bienvenue chez vous
531,Ormara,PK,76.32,clear sky,25.2088,64.6357,Kenara Colony house for Rent
532,Alofi,NU,76.89,overcast clouds,-19.0595,-169.9187,Taloa Heights
535,Betioky,MG,75.27,clear sky,-23.7167,44.3833,Bungalows Acacias Hotel
536,Mizdah,LY,52.83,broken clouds,31.4451,12.9801,محمدالمبروك الاريقط
537,Kendari,ID,75.36,heavy intensity rain,-3.945,122.4989,Hotel Wixel
538,Redmond,US,55.35,overcast clouds,47.674,-122.1215,Seattle Marriott Redmond
541,Zakupy,CZ,52.02,clear sky,50.6848,14.6452,Penzion na Konci
545,Half Moon Bay,US,76.59,haze,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
548,Byron Bay,AU,63.95,clear sky,-28.65,153.6167,Backpackers Inn
549,Carlyle,US,54.37,moderate rain,38.6103,-89.3726,Mariner's Village at Carlyle Lake
550,El Dorado,US,72.19,few clouds,38.7666,-120.5177,South Fork Group Campground
552,Auki,SB,77.43,broken clouds,-8.7676,160.7034,Auki Motel
553,Norfolk,US,52.11,scattered clouds,42.1668,-71.2495,Residence Inn by Marriott Boston Norwood/Canton
555,Americus,US,77.13,clear sky,32.0724,-84.2327,Best Western Plus Windsor Hotel
556,Saint-Joseph,RE,79.18,broken clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
562,Antalaha,MG,76.33,overcast clouds,-14.9003,50.2788,Hotel Vitasoa
567,Valparaiso,CL,71.83,clear sky,-33.0393,-71.6273,Hotel Ultramar
571,Katakwi,UG,76.28,broken clouds,1.8911,33.9661,Ebenezer Guest House
574,Nanakuli,US,74.71,few clouds,21.3906,-158.1547,Camp Pālehua
576,Barcelos,PT,54.91,overcast clouds,41.5388,-8.6151,Hotel Restaurante Bagoeira
581,Plouzane,FR,59.32,clear sky,48.3833,-4.6167,Lymina
582,Uberlandia,BR,79.81,broken clouds,-18.9186,-48.2772,Hotel Apollo
585,Hun,LY,55.18,clear sky,29.1268,15.9477,Alrwasi Hotel
587,Marsh Harbour,BS,74.32,clear sky,26.5412,-77.0636,Abaco Beach Resort
588,Qui Nhon,VN,77.04,few clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
